epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,run
1,1.2156,1.4224,1.1954,0.82958,0.75614,0.82219,0.56161,1.0528,0.87829,1.0888,0.00041593,0.00041593,0.00041593,train
2,1.0286,0.83131,1.0948,0.82749,0.79072,0.85135,0.5905,0.9927,0.75903,1.0531,0.00081611,0.00081611,0.00081611,train
3,1.0018,0.78053,1.0816,0.85767,0.78132,0.85429,0.593,0.98499,0.74217,1.0463,0.0011998,0.0011998,0.0011998,train
4,0.98751,0.74687,1.0744,0.86553,0.80094,0.86857,0.60872,0.97123,0.69741,1.0389,0.0011757,0.0011757,0.0011757,train
5,0.96674,0.72202,1.0652,0.85801,0.81362,0.8768,0.62178,0.94284,0.65463,1.021,0.001151,0.001151,0.001151,train
6,0.95652,0.70512,1.0601,0.87306,0.80268,0.87512,0.62472,0.93394,0.65233,1.0184,0.0011263,0.0011263,0.0011263,train
7,0.94514,0.6895,1.0551,0.87456,0.80794,0.87764,0.62803,0.93326,0.63068,1.0171,0.0011015,0.0011015,0.0011015,train
8,0.93692,0.6761,1.0503,0.875,0.81493,0.88071,0.62815,0.94284,0.63477,1.02,0.0010768,0.0010768,0.0010768,train
9,0.93234,0.66736,1.0474,0.87156,0.81485,0.88289,0.63739,0.91562,0.61517,1.0098,0.001052,0.001052,0.001052,train
10,0.92731,0.65974,1.0449,0.88177,0.81677,0.88623,0.63668,0.91776,0.60883,1.0076,0.0010273,0.0010273,0.0010273,train
11,0.91893,0.65405,1.0431,0.88306,0.81865,0.88542,0.64257,0.90268,0.60578,0.99936,0.0010025,0.0010025,0.0010025,train
12,0.91317,0.64587,1.0403,0.88249,0.82374,0.88951,0.6479,0.89621,0.59751,0.99851,0.00097775,0.00097775,0.00097775,train
13,0.91057,0.64085,1.0374,0.88051,0.82024,0.88407,0.63888,0.91188,0.59933,1.0048,0.000953,0.000953,0.000953,train
14,0.90547,0.63388,1.0347,0.88502,0.82705,0.8946,0.64996,0.89214,0.58376,0.99292,0.00092825,0.00092825,0.00092825,train
15,0.90197,0.62966,1.0337,0.88618,0.82807,0.89437,0.65134,0.89251,0.57752,0.99527,0.0009035,0.0009035,0.0009035,train
16,0.89784,0.62438,1.0322,0.89143,0.82729,0.89556,0.65253,0.88761,0.57373,0.99356,0.00087875,0.00087875,0.00087875,train
17,0.89363,0.61881,1.0299,0.88893,0.8336,0.89863,0.65596,0.88642,0.56749,0.98889,0.000854,0.000854,0.000854,train
18,0.89067,0.61472,1.0284,0.89036,0.83569,0.90006,0.65803,0.87962,0.56461,0.98809,0.00082925,0.00082925,0.00082925,train
19,0.88799,0.6137,1.027,0.8931,0.83514,0.89958,0.65642,0.88215,0.5655,0.9865,0.0008045,0.0008045,0.0008045,train
20,0.88416,0.60913,1.0252,0.89228,0.83385,0.89862,0.65478,0.89051,0.56533,0.98791,0.00077975,0.00077975,0.00077975,train
21,0.88412,0.60717,1.025,0.89925,0.83375,0.90166,0.65999,0.87518,0.55766,0.98478,0.000755,0.000755,0.000755,train
22,0.88149,0.60261,1.0226,0.89476,0.83868,0.90403,0.66198,0.87552,0.55434,0.98286,0.00073025,0.00073025,0.00073025,train
23,0.87808,0.59816,1.0217,0.89602,0.84145,0.90384,0.66154,0.8744,0.55385,0.98196,0.0007055,0.0007055,0.0007055,train
24,0.87343,0.59496,1.0186,0.8958,0.83898,0.90385,0.66306,0.86867,0.5502,0.98115,0.00068075,0.00068075,0.00068075,train
25,0.87282,0.59233,1.0182,0.89618,0.83902,0.90307,0.66348,0.8714,0.55101,0.9809,0.000656,0.000656,0.000656,train
26,0.87043,0.59343,1.0195,0.89829,0.84007,0.90351,0.66152,0.87471,0.55141,0.97982,0.00063125,0.00063125,0.00063125,train
27,0.86898,0.58868,1.0173,0.90047,0.8406,0.9054,0.66658,0.86659,0.54553,0.97831,0.0006065,0.0006065,0.0006065,train
28,0.86662,0.58564,1.0151,0.89954,0.84434,0.90864,0.66915,0.86315,0.5375,0.97669,0.00058175,0.00058175,0.00058175,train
29,0.86416,0.58277,1.0155,0.89843,0.84641,0.90858,0.66855,0.86454,0.53733,0.97564,0.000557,0.000557,0.000557,train
30,0.86151,0.58001,1.0128,0.90225,0.84649,0.91085,0.67025,0.86039,0.53384,0.97363,0.00053225,0.00053225,0.00053225,train
31,0.86052,0.58104,1.0142,0.8994,0.84807,0.90872,0.67061,0.85782,0.53334,0.97323,0.0005075,0.0005075,0.0005075,train
32,0.85942,0.57712,1.0115,0.90423,0.84369,0.90885,0.67178,0.85686,0.53246,0.97366,0.00048275,0.00048275,0.00048275,train
33,0.85498,0.57407,1.0096,0.9037,0.84569,0.91012,0.67154,0.85816,0.53108,0.97269,0.000458,0.000458,0.000458,train
34,0.85481,0.57257,1.0094,0.90361,0.84619,0.9101,0.6719,0.8606,0.52743,0.97356,0.00043325,0.00043325,0.00043325,train
35,0.8544,0.57073,1.0089,0.90001,0.85017,0.91138,0.67449,0.85258,0.52714,0.97053,0.0004085,0.0004085,0.0004085,train
36,0.85005,0.56753,1.0073,0.90232,0.8517,0.91189,0.67511,0.8539,0.52358,0.97153,0.00038375,0.00038375,0.00038375,train
37,0.84887,0.56467,1.0071,0.90411,0.85076,0.91214,0.67482,0.85321,0.52142,0.97127,0.000359,0.000359,0.000359,train
38,0.84696,0.56273,1.0056,0.90164,0.85408,0.91338,0.67519,0.85217,0.52027,0.97017,0.00033425,0.00033425,0.00033425,train
39,0.84664,0.56227,1.0055,0.90422,0.85152,0.91285,0.6752,0.85224,0.52094,0.9694,0.0003095,0.0003095,0.0003095,train
40,0.8421,0.55746,1.0036,0.90276,0.85346,0.91362,0.67716,0.85009,0.5195,0.96828,0.00028475,0.00028475,0.00028475,train
41,0.84496,0.53967,1.0045,0.9015,0.85455,0.91325,0.68014,0.83319,0.51767,0.96532,0.00026,0.00026,0.00026,train
42,0.83671,0.53,0.99965,0.90242,0.85398,0.91403,0.68157,0.83109,0.51592,0.96427,0.00023525,0.00023525,0.00023525,train
43,0.83329,0.52584,0.9973,0.90461,0.85459,0.91457,0.68252,0.83019,0.51334,0.96317,0.0002105,0.0002105,0.0002105,train
44,0.83336,0.52494,0.99793,0.90383,0.8555,0.91467,0.68202,0.83251,0.51227,0.96357,0.00018575,0.00018575,0.00018575,train
45,0.83137,0.52284,0.9962,0.90511,0.85569,0.91587,0.68378,0.82847,0.51026,0.96242,0.000161,0.000161,0.000161,train
46,0.82626,0.51842,0.99487,0.90772,0.8542,0.91591,0.68402,0.82863,0.50875,0.96218,0.00013625,0.00013625,0.00013625,train
47,0.82365,0.51559,0.99362,0.90579,0.85522,0.91583,0.68374,0.82931,0.50729,0.96215,0.0001115,0.0001115,0.0001115,train
48,0.82279,0.51326,0.9921,0.90733,0.85569,0.91636,0.685,0.82613,0.50556,0.96037,8.675e-05,8.675e-05,8.675e-05,train
49,0.82107,0.51155,0.99255,0.90572,0.85763,0.91665,0.68496,0.82685,0.50556,0.96107,6.2e-05,6.2e-05,6.2e-05,train
50,0.81811,0.50903,0.99081,0.90419,0.85787,0.91612,0.68429,0.8277,0.50547,0.96123,3.725e-05,3.725e-05,3.725e-05,train
51,0.88132,0.58466,1.121,0.89065,0.86435,0.92589,0.68269,0.93125,0.62366,1.2053,0.00041639,0.00041639,0.00041639,train2
52,0.88348,0.58701,1.1171,0.89538,0.86279,0.92539,0.68247,0.93625,0.63098,1.2055,0.00075058,0.00075058,0.00075058,train2
53,0.8829,0.58533,1.114,0.89651,0.87189,0.93167,0.6955,0.90225,0.58825,1.1862,0.0010023,0.0010023,0.0010023,train2
54,0.876,0.57864,1.1091,0.89712,0.88061,0.93554,0.70027,0.89367,0.57952,1.1704,0.00087875,0.00087875,0.00087875,train2
55,0.86704,0.56633,1.1023,0.89787,0.88133,0.93696,0.70667,0.87754,0.57022,1.1673,0.000755,0.000755,0.000755,train2
56,0.85691,0.55516,1.0951,0.90278,0.8823,0.9398,0.70973,0.8739,0.5561,1.1614,0.00063125,0.00063125,0.00063125,train2
57,0.84759,0.54452,1.0899,0.90541,0.8869,0.9411,0.714,0.86541,0.54759,1.1538,0.0005075,0.0005075,0.0005075,train2
58,0.84016,0.53385,1.0858,0.90792,0.89072,0.94438,0.71979,0.85661,0.53584,1.1441,0.00038375,0.00038375,0.00038375,train2
59,0.83176,0.52303,1.0799,0.90934,0.89374,0.94643,0.72472,0.84546,0.5244,1.1366,0.00026,0.00026,0.00026,train2
60,0.82326,0.51401,1.0739,0.91323,0.89543,0.94827,0.72813,0.83972,0.51496,1.1313,0.00013625,0.00013625,0.00013625,train2
61,0.82821,0.52015,1.0771,0.90927,0.88927,0.94439,0.71953,0.85979,0.54017,1.1438,0.00041639,0.00041639,0.00041639,train3
62,0.84285,0.53587,1.0845,0.90418,0.8842,0.94005,0.70808,0.88205,0.55759,1.1588,0.00075058,0.00075058,0.00075058,train3
63,0.84778,0.54235,1.0865,0.90025,0.88282,0.93788,0.70679,0.8796,0.55903,1.1584,0.0010023,0.0010023,0.0010023,train3
64,0.8461,0.54099,1.087,0.90628,0.88593,0.94208,0.71443,0.86969,0.54608,1.1499,0.00087875,0.00087875,0.00087875,train3
65,0.84099,0.53427,1.0833,0.90612,0.88947,0.94359,0.71738,0.85983,0.53608,1.1497,0.000755,0.000755,0.000755,train3
66,0.83426,0.52557,1.0774,0.90569,0.89026,0.94481,0.72069,0.85494,0.53052,1.143,0.00063125,0.00063125,0.00063125,train3
67,0.82719,0.51874,1.0749,0.90872,0.89537,0.94654,0.72416,0.84653,0.52045,1.1356,0.0005075,0.0005075,0.0005075,train3
68,0.82253,0.51047,1.0725,0.91038,0.89763,0.94835,0.72806,0.84358,0.51418,1.1306,0.00038375,0.00038375,0.00038375,train3
69,0.81589,0.50332,1.0675,0.91285,0.90086,0.95052,0.73318,0.8298,0.50346,1.123,0.00026,0.00026,0.00026,train3
70,0.81074,0.49664,1.0639,0.91559,0.9011,0.95201,0.73691,0.82449,0.49603,1.1179,0.00013625,0.00013625,0.00013625,train3
