fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,label_smoothing,hsv_v,hsv_h,hsv_s,degrees,translate,scale,shear,perspective,flipud,fliplr
0.51126,0.01,0.01,0.937,0.0005,3.0,0.8,2,0.5,0.0,0.4,0.015,0.7,0.0,0.1,0.5,0.0,0.0,0.0,0.5
0.50997,0.01056,0.01044,0.937,0.00045,3.0,0.88928,1.97537,0.49444,0.0,0.40687,0.01378,0.7,0.0,0.09542,0.50651,0.0,0.0,0.0,0.5
0.5052,0.01,0.01,0.92971,0.0005,2.59729,0.93434,2,0.62714,0.0,0.41091,0.01413,0.76551,0.0,0.1,0.67698,0.0,0.0,0.0,0.51386
0.50935,0.01056,0.01044,0.78271,0.00037,3.0,0.89203,1.81568,0.64994,0.0,0.38684,0.01294,0.7,0.0,0.13539,0.50651,0.0,0.0,0.0,0.49495
0.51471,0.01052,0.01,0.92319,0.00041,2.64303,0.71479,1.80364,0.53117,0.0,0.3444,0.01603,0.57635,0.0,0.1,0.48024,0.0,0.0,0.0,0.48569
0.51704,0.01159,0.01044,0.71398,0.00051,2.0556,0.95,1.67441,0.42588,0.0,0.46277,0.01481,0.63494,0.0,0.0883,0.40289,0.0,0.0,0.0,0.57065
0.51504,0.01014,0.01,0.90877,0.00041,2.62324,0.68695,1.77928,0.53185,0.0,0.32626,0.01648,0.57528,0.0,0.1,0.47475,0.0,0.0,0.0,0.49649
0.51398,0.01167,0.01189,0.92319,0.00042,2.51765,0.71479,1.81214,0.51135,0.0,0.3444,0.01357,0.58333,0.0,0.10273,0.50652,0.0,0.0,0.0,0.49934
0.51781,0.01159,0.01064,0.72061,0.00052,2.08354,0.95,1.69357,0.42118,0.0,0.45737,0.01502,0.63355,0.0,0.08788,0.40289,0.0,0.0,0.0,0.57065
0.51807,0.01221,0.01,0.71398,0.00051,2.0556,0.91323,1.83533,0.42588,0.0,0.42669,0.01458,0.63969,0.0,0.0883,0.39996,0.0,0.0,0.0,0.57065
0.51327,0.01039,0.01064,0.66509,0.00052,2.05235,0.95,1.54928,0.35542,0.0,0.45405,0.01152,0.38817,0.0,0.08788,0.50789,0.0,0.0,0.0,0.45354
0.5191,0.0124,0.01004,0.71097,0.00051,2.04475,0.92563,1.8128,0.42588,0.0,0.42669,0.0146,0.65684,0.0,0.08906,0.40115,0.0,0.0,0.0,0.56645
0.51904,0.0124,0.01,0.6,0.00063,1.95581,0.81786,1.7922,0.36868,0.0,0.40831,0.01583,0.65684,0.0,0.09324,0.33609,0.0,0.0,0.0,0.59485
0.51778,0.0124,0.01,0.71097,0.00057,1.98325,0.95,1.7344,0.42588,0.0,0.38726,0.01382,0.65684,0.0,0.10251,0.36261,0.0,0.0,0.0,0.56343
0.5195,0.01253,0.01,0.6,0.00065,1.89221,0.81826,1.78414,0.37185,0.0,0.39989,0.01605,0.65044,0.0,0.09539,0.32732,0.0,0.0,0.0,0.59665
0.51745,0.01159,0.01021,0.7511,0.00051,1.89926,0.90281,1.70264,0.42588,0.0,0.42669,0.01607,0.71775,0.0,0.08382,0.39324,0.0,0.0,0.0,0.51456
0.52039,0.01122,0.01,0.70374,0.00079,1.89221,0.95,2,0.31777,0.0,0.47405,0.01603,0.65044,0.0,0.06883,0.32732,0.0,0.0,0.0,0.59665
0.52163,0.0124,0.01032,0.66876,0.00069,1.85895,0.93965,1.96141,0.36868,0.0,0.30979,0.01852,0.62426,0.0,0.09324,0.32131,0.0,0.0,0.0,0.57349
0.51981,0.01122,0.01,0.70374,0.00079,1.90675,0.92084,2.0,0.33216,0.0,0.45321,0.01679,0.66201,0.0,0.07126,0.29118,0.0,0.0,0.0,0.59665
0.5194,0.01214,0.01,0.70157,0.00067,1.83364,0.95,1.83168,0.40095,0.0,0.30276,0.01743,0.65123,0.0,0.09324,0.32262,0.0,0.0,0.0,0.53607
0.51669,0.01163,0.01,0.6,0.00062,2.58146,0.95,1.96632,0.3565,0.0,0.47084,0.01633,0.68706,0.0,0.06528,0.29608,0.0,0.0,0.0,0.63801
0.52046,0.0124,0.01003,0.6713,0.00069,1.8271,0.93965,1.99269,0.36868,0.0,0.31411,0.01897,0.62426,0.0,0.0912,0.32077,0.0,0.0,0.0,0.56589
0.5178,0.01122,0.01,0.71275,0.00078,1.88267,0.95,2,0.31777,0.0,0.48043,0.01651,0.65044,0.0,0.06883,0.3387,0.0,0.0,0.0,0.58197
0.52159,0.01192,0.01023,0.69515,0.00069,1.7562,0.95,1.99269,0.37421,0.0,0.29588,0.01897,0.61763,0.0,0.08943,0.32513,0.0,0.0,0.0,0.59243
0.51921,0.01139,0.01,0.71274,0.00078,1.89221,0.94332,2,0.31213,0.0,0.46897,0.0156,0.65571,0.0,0.06883,0.33081,0.0,0.0,0.0,0.59665
0.52273,0.01321,0.01032,0.70098,0.00073,1.85895,0.91617,1.89758,0.36105,0.0,0.30038,0.01852,0.62426,0.0,0.09958,0.34871,0.0,0.0,0.0,0.52756
0.521,0.01192,0.01053,0.82923,0.00074,1.69866,0.91394,1.99269,0.32611,0.0,0.29588,0.01796,0.61763,0.0,0.09441,0.32513,0.0,0.0,0.0,0.5724
0.52147,0.01321,0.01191,0.6,0.00055,1.85895,0.87956,1.89758,0.39323,0.0,0.28286,0.01724,0.69588,0.0,0.08951,0.35546,0.0,0.0,0.0,0.52756
0.52128,0.01321,0.01032,0.6,0.00061,2.15666,0.86078,1.89758,0.36105,0.0,0.30038,0.02009,0.72455,0.0,0.09066,0.34871,0.0,0.0,0.0,0.52756
0.52202,0.01359,0.0121,0.60978,0.00057,1.95676,0.87956,1.89758,0.38294,0.0,0.28533,0.0169,0.69588,0.0,0.08949,0.36862,0.0,0.0,0.0,0.51116
0.52138,0.01325,0.01138,0.6901,0.00072,1.85895,0.91617,1.89758,0.37928,0.0,0.28796,0.01852,0.62426,0.0,0.08831,0.36283,0.0,0.0,0.0,0.58657
0.51965,0.01726,0.01126,0.70098,0.00067,1.86189,0.923,2,0.35594,0.0,0.30337,0.01737,0.67993,0.0,0.10258,0.38994,0.0,0.0,0.0,0.54117
